Full Name,Department,Job Title,Hiring day
Cain Clark Ivanovich,SSR,Spy,01/08/2022
Queen David Maryevich,Queen Industries,Spy,24/06/2023
Cho Walter Elenaevich,League of Assassins,Archer,24/05/2017
Smoak Oliver Dariaevich,SSR,Soldier,14/07/2018
Murdock Daniel Sidorovich,League of Assassins,Scientist,13/06/2024
Maximoff Clark Maryevich,Alias Investigations,CEO,20/05/2019
Jones Jason Maryevich,Rand Enterprises,Lawyer,23/10/2023
White Peter Katerinaevich,Wayne Enterprises,Air Force Pilot,20/03/2019
Bishop Daniel Ivanovich,Daily Planet,CEO,02/03/2020
Murdock Wade Elenaevich,CatCo Worldwide Media,Scientist,26/12/2018
Reilly Norman Ivanovich,Queen Industries,Spy,17/12/2018
Kent David Nataliaevich,Stark Industries,Private Investigator,05/02/2022
Cho Matt Elenaevich,SSR,Air Force Pilot,26/09/2021
Smoak Tony Elenaevich,League of Assassins,Private Investigator,26/12/2017
Cho Bruce Olgaevich,Army,Spy,31/03/2021
Watson Clark Tatianaevich,SSR,Reporter,15/05/2020
Watson Steve Irinaevich,Fantastic Four,Photographer,11/12/2023
Romanoff Walter Katerinaevich,NASA,IT Specialist,02/08/2018
Rand Bruce Ivanovich,Queen Industries,Private Investigator,12/05/2022
Rand Jason Petrovich,NASA,Soldier,04/10/2016
Kent Ben Petrovich,Queen Industries,Scientist,22/04/2022
Parker Matt Petrovich,Army,IT Specialist,29/09/2017
Parker David Tatianaevich,Daily Planet,Private Investigator,20/12/2021
Maximoff Bruce Dariaevich,Wayne Enterprises,Lawyer,24/01/2024
Kent David Elenaevich,Gamma Research,Soldier,15/02/2021
Watson Norman Tatianaevich,Army,Soldier,22/02/2018
Carter Walter Sidorovich,Queen Industries,Air Force Pilot,09/06/2018
Cho Jason Dariaevich,Wayne Enterprises,Archer,25/08/2018
Murdock Bruce Olgaevich,CatCo Worldwide Media,Scientist,12/06/2019
Bishop Norman Svetlanaevich,CatCo Worldwide Media,Scientist,02/07/2017
Palpatine Ben Petrovich,Alias Investigations,Archer,11/04/2017
Romanoff David Maryevich,NASA,IT Specialist,08/04/2017
