Full Name,Department,Job Title,Hiring day
Rand Norman Elenaevich,Stark Industries,Journalist,21/11/2023
Storm Bruce Svetlanaevich,Queen Industries,Lawyer,08/12/2021
Romanoff Peter Ivanovich,Oscorp Industries,IT Specialist,19/10/2020
Rand Oliver Tatianaevich,Daily Planet,Photographer,28/05/2020
Wilson Steve Sidorovich,Fantastic Four,Air Force Pilot,14/10/2017
White Norman Irinaevich,Fantastic Four,Scientist,01/12/2021
Osborn Bruce Dariaevich,Central City Police Department,CEO,29/01/2021
Osborn Steve Svetlanaevich,NASA,Scientist,11/08/2018
Storm Wade Nataliaevich,Palmer Technologies,Journalist,11/01/2021
Lane Norman Irinaevich,SSR,CEO,08/09/2016
Gale Jason Sidorovich,Stark Industries,Model,04/03/2020
Allen Barry Maryevich,Wayne Enterprises,IT Specialist,07/07/2021
Zor-El Steve Svetlanaevich,Rand Enterprises,IT Specialist,09/12/2018
Zor-El Jason Dariaevich,Alias Investigations,IT Specialist,30/11/2016
Rand Oliver Sidorovich,Stark Industries,Reporter,12/06/2021
Storm Peter Nikolaevich,CatCo Worldwide Media,Archer,27/03/2024
Bishop Ben Ivanovich,CatCo Worldwide Media,Archer,26/12/2017
Wayne Jason Petrovich,Army,Air Force Pilot,08/10/2017
White Tony Maryevich,Fantastic Four,Soldier,15/04/2021
Wilson Daniel Sidorovich,CatCo Worldwide Media,IT Specialist,09/11/2019
Zor-El Barry Olgaevich,SSR,Photographer,20/02/2019
Palpatine Oliver Elenaevich,CatCo Worldwide Media,Archer,28/07/2022
Stark Barry Ivanovich,Fantastic Four,Private Investigator,31/05/2020
Lane Peter Dariaevich,CatCo Worldwide Media,Private Investigator,23/01/2021
Cho Tony Sidorovich,SSR,Lawyer,27/06/2022
Wayne Tony Dariaevich,Palmer Technologies,Model,07/07/2017
Wilson Steve Olgaevich,Central City Police Department,Reporter,22/05/2018
Stark Wade Elenaevich,Fantastic Four,Model,16/12/2020
Osborn Wade Ivanovich,Wayne Enterprises,Agent,26/02/2019
Stark Wade Svetlanaevich,Rand Enterprises,Model,09/04/2017
Gale Wade Nataliaevich,Rand Enterprises,Archer,15/01/2018
Wilson Jason Ivanovich,Wayne Enterprises,Photographer,04/12/2021
Reilly Steve Ivanovich,Alias Investigations,Lawyer,19/05/2017
Todd Jason Irinaevich,Daily Planet,Soldier,02/01/2024
Reilly Peter Olgaevich,Palmer Technologies,Lawyer,30/07/2022
Cho Clark Katerinaevich,Gamma Research,Model,13/05/2018
Murdock David Tatianaevich,Rand Enterprises,Agent,24/05/2018
Parker Peter Petrovich,Queen Industries,Air Force Pilot,19/06/2023
Cain Matt Olgaevich,Oscorp Industries,IT Specialist,28/10/2019
Todd Peter Olgaevich,Queen Industries,Air Force Pilot,16/02/2024
Reilly Norman Tatianaevich,Alias Investigations,Photographer,30/10/2016
Kent Bruce Maryevich,Central City Police Department,Agent,05/09/2018
Osborn Daniel Nikolaevich,Gamma Research,CEO,03/09/2023
Romanoff Jason Nataliaevich,Fantastic Four,Reporter,10/03/2022
Parker Daniel Sidorovich,CatCo Worldwide Media,Air Force Pilot,20/03/2019
Wilson Clark Olgaevich,Queen Industries,Private Investigator,19/04/2017
Lane Matt Dariaevich,Queen Industries,Soldier,02/07/2024
Rand Jason Sidorovich,Fantastic Four,Model,14/04/2020
Kent Ben Olgaevich,League of Assassins,Spy,29/10/2022
Storm Norman Olgaevich,Gamma Research,Photographer,22/01/2019
Queen Bruce Maryevich,Alias Investigations,Agent,20/08/2019
Zor-El Norman Maryevich,Rand Enterprises,CEO,30/03/2020
Carter Barry Nataliaevich,SSR,Private Investigator,06/04/2021
Queen Barry Nikolaevich,NASA,Air Force Pilot,20/01/2017
Rogers Clark Katerinaevich,CatCo Worldwide Media,Journalist,24/01/2022
Osborn Oliver Nikolaevich,Gamma Research,Scientist,08/03/2023
Murdock Wade Dariaevich,Stark Industries,Spy,03/10/2018
Lane Peter Nataliaevich,Central City Police Department,IT Specialist,09/06/2018
Rogers David Maryevich,SSR,Lawyer,23/03/2020
Wayne Barry Elenaevich,Wayne Enterprises,Model,07/01/2022
Cho Tony Dariaevich,Queen Industries,Private Investigator,16/10/2023
Wilson Daniel Petrovich,Alias Investigations,Reporter,26/04/2022
Cain Barry Olgaevich,SSR,Photographer,31/03/2019
Lane Wade Irinaevich,Queen Industries,Journalist,01/03/2020
Palpatine Peter Nataliaevich,Army,Reporter,16/12/2023
Reilly Peter Elenaevich,Daily Planet,Archer,21/06/2019
Danvers Ben Svetlanaevich,Fantastic Four,Spy,23/05/2020
Danvers Oliver Maryevich,League of Assassins,Lawyer,26/10/2020
Palpatine Wade Dariaevich,Central City Police Department,Reporter,06/05/2017
Storm Peter Katerinaevich,SSR,Archer,16/07/2022
Gale Matt Tatianaevich,Daily Planet,Model,04/07/2017
Murdock Ben Katerinaevich,Alias Investigations,Scientist,12/10/2017
Lane David Nikolaevich,Alias Investigations,Reporter,18/07/2018
Osborn Ben Elenaevich,Central City Police Department,Photographer,29/12/2017
Cain Walter Elenaevich,Alias Investigations,Photographer,28/10/2016
Rogers Ben Dariaevich,Fantastic Four,CEO,25/04/2023
Gale Wade Maryevich,Palmer Technologies,Journalist,07/11/2023
Todd Wade Elenaevich,Alias Investigations,IT Specialist,20/08/2018
Wilson Steve Olgaevich,Alias Investigations,Scientist,29/03/2020
Allen Bruce Dariaevich,SSR,CEO,16/01/2023
Cho Matt Sidorovich,Oscorp Industries,CEO,03/08/2023
Reilly Matt Irinaevich,Daily Planet,Photographer,30/05/2018
Bishop David Maryevich,Queen Industries,Scientist,15/12/2019
Storm Norman Petrovich,Oscorp Industries,Model,22/08/2022
Rand Clark Tatianaevich,League of Assassins,Lawyer,23/01/2021
Watson Daniel Irinaevich,Alias Investigations,Soldier,19/07/2023
Carter David Nikolaevich,Army,Soldier,13/11/2023
Zor-El Steve Elenaevich,Daily Planet,Model,05/05/2019
Stark Tony Irinaevich,Wayne Enterprises,IT Specialist,22/01/2022
Cain Barry Olgaevich,Gamma Research,Model,28/04/2019
Jones Jason Maryevich,Gamma Research,Spy,12/03/2022
Parker Barry Tatianaevich,Army,Lawyer,12/05/2020
Murdock Matt Katerinaevich,Oscorp Industries,Journalist,01/02/2020
Storm Wade Olgaevich,Daily Planet,Photographer,15/12/2016
Kent Tony Irinaevich,Fantastic Four,Air Force Pilot,28/09/2021
Carter Clark Svetlanaevich,SSR,Spy,03/12/2021
Stark Oliver Elenaevich,Rand Enterprises,Agent,16/11/2019
Cho Daniel Svetlanaevich,Central City Police Department,Lawyer,10/10/2016
Carter Oliver Nataliaevich,Stark Industries,Private Investigator,16/06/2024
Storm Bruce Ivanovich,NASA,Soldier,31/08/2022
Allen David Nataliaevich,Wayne Enterprises,Journalist,27/03/2017
Kent Bruce Nataliaevich,Daily Planet,IT Specialist,02/06/2024
Gale David Katerinaevich,Queen Industries,Private Investigator,21/12/2016
Maximoff Clark Irinaevich,NASA,Soldier,11/03/2024
Cain David Nataliaevich,Daily Planet,CEO,21/10/2021
Maximoff Walter Sidorovich,Palmer Technologies,Journalist,09/04/2017
Parker Clark Katerinaevich,Wayne Enterprises,Reporter,13/02/2024
Storm Norman Petrovich,Fantastic Four,Agent,25/12/2021
Allen Oliver Tatianaevich,SSR,Agent,12/12/2021
Romanoff Oliver Sidorovich,NASA,Private Investigator,18/09/2019
Queen Wade Nataliaevich,CatCo Worldwide Media,Photographer,21/06/2019
Smoak David Olgaevich,Daily Planet,CEO,22/11/2020
Smoak Wade Tatianaevich,NASA,Scientist,22/09/2016
White Matt Olgaevich,Daily Planet,IT Specialist,15/10/2023
Allen David Svetlanaevich,Daily Planet,Air Force Pilot,03/06/2024
Todd Matt Dariaevich,CatCo Worldwide Media,Scientist,27/02/2022
Kent Bruce Sidorovich,CatCo Worldwide Media,Private Investigator,17/12/2019
Watson Wade Dariaevich,Oscorp Industries,Agent,13/01/2024
Bishop Daniel Maryevich,Army,Private Investigator,15/06/2024
Lane Ben Nataliaevich,Oscorp Industries,CEO,04/02/2018
Lane Norman Tatianaevich,Gamma Research,Lawyer,12/01/2023
Carter David Irinaevich,S.H.I.E.L.D.,Air Force Pilot,07/12/2017
Allen Ben Katerinaevich,SSR,Journalist,15/10/2023
Carter Norman Ivanovich,S.H.I.E.L.D.,Journalist,27/09/2020
Wayne Wade Sidorovich,Wayne Enterprises,Journalist,03/10/2017
Smoak Norman Olgaevich,NASA,CEO,23/02/2024
Gale Norman Olgaevich,Fantastic Four,Soldier,08/05/2023
Carter Clark Petrovich,Gamma Research,Reporter,29/05/2019
Wayne Jason Katerinaevich,Fantastic Four,Lawyer,27/08/2017
Wayne Ben Katerinaevich,CatCo Worldwide Media,Spy,27/10/2021
Wilson Barry Nataliaevich,CatCo Worldwide Media,CEO,04/07/2023
Stark Matt Nataliaevich,Fantastic Four,Scientist,18/10/2017
Watson Walter Nataliaevich,Wayne Enterprises,IT Specialist,20/05/2021
Palpatine Ben Katerinaevich,CatCo Worldwide Media,Archer,12/11/2021
Reilly Steve Nataliaevich,Army,Photographer,10/05/2022
Watson Wade Dariaevich,Fantastic Four,Spy,13/08/2018
Murdock Barry Svetlanaevich,Palmer Technologies,Spy,17/09/2019
Kent Clark Tatianaevich,SSR,Soldier,17/12/2017
