Full Name,Department,Job Title,Hiring day
Allen Wade Olgaevich,Wayne Enterprises,Reporter,26/06/2021
Carter Norman Irinaevich,SSR,IT Specialist,27/12/2018
Watson Matt Irinaevich,NASA,Photographer,24/12/2023
Parker Tony Maryevich,Central City Police Department,Soldier,17/10/2022
Parker Clark Tatianaevich,Gamma Research,Spy,10/11/2021
Cain David Sidorovich,Central City Police Department,Journalist,11/10/2021
Watson Tony Svetlanaevich,Gamma Research,CEO,16/10/2016
Cho Oliver Irinaevich,Palmer Technologies,Reporter,18/02/2023
Rand Matt Ivanovich,Army,Reporter,17/01/2021
Gale Tony Nikolaevich,League of Assassins,Archer,14/03/2021
Wilson Bruce Ivanovich,Oscorp Industries,Photographer,28/01/2024
Carter Oliver Sidorovich,Queen Industries,CEO,05/03/2017
Cain Walter Dariaevich,League of Assassins,IT Specialist,17/04/2019
Smoak Ben Elenaevich,Alias Investigations,Scientist,29/09/2023
Todd Bruce Elenaevich,Daily Planet,Spy,13/11/2023
Queen Bruce Katerinaevich,CatCo Worldwide Media,Reporter,02/09/2020
Storm Peter Petrovich,Daily Planet,Reporter,09/02/2022
Smoak Jason Dariaevich,Rand Enterprises,Photographer,07/05/2023
Murdock Clark Tatianaevich,League of Assassins,Photographer,21/11/2016
Cain Matt Nataliaevich,Stark Industries,CEO,07/04/2022
Allen Tony Dariaevich,Fantastic Four,IT Specialist,09/08/2022
Kent Bruce Katerinaevich,Central City Police Department,Private Investigator,05/02/2018
Allen Ben Ivanovich,S.H.I.E.L.D.,Scientist,13/01/2020
Rand Norman Tatianaevich,Daily Planet,Lawyer,02/02/2021
Storm Clark Dariaevich,Daily Planet,Soldier,06/01/2017
Romanoff Norman Nikolaevich,NASA,Agent,19/12/2021
Gale Norman Ivanovich,Palmer Technologies,Lawyer,27/12/2016
Maximoff Jason Ivanovich,Gamma Research,IT Specialist,12/12/2017
Wilson Jason Katerinaevich,Oscorp Industries,IT Specialist,18/09/2019
Parker Oliver Elenaevich,Daily Planet,Agent,15/03/2020
Parker Walter Nataliaevich,Stark Industries,CEO,31/07/2022
Carter Norman Sidorovich,Queen Industries,Archer,20/09/2018
Wayne Oliver Elenaevich,CatCo Worldwide Media,Archer,04/01/2018
Jones David Olgaevich,Fantastic Four,IT Specialist,31/10/2021
Cain Daniel Petrovich,Oscorp Industries,Soldier,23/08/2016
Wayne Daniel Elenaevich,Army,CEO,05/09/2016
Stark Oliver Elenaevich,Central City Police Department,Model,25/06/2024
Cain Jason Nikolaevich,Oscorp Industries,CEO,08/07/2024
Cho Clark Dariaevich,CatCo Worldwide Media,Journalist,13/05/2023
Kent Oliver Maryevich,League of Assassins,CEO,07/09/2019
Zor-El Oliver Sidorovich,S.H.I.E.L.D.,Journalist,15/11/2021
Murdock David Nataliaevich,Fantastic Four,Spy,08/11/2019
Rand Wade Olgaevich,Palmer Technologies,Air Force Pilot,19/06/2024
Osborn Jason Katerinaevich,Queen Industries,Agent,31/08/2016
Murdock Barry Olgaevich,NASA,Scientist,31/07/2024
Wayne Tony Irinaevich,Queen Industries,Scientist,04/01/2020
Reilly Daniel Nataliaevich,Rand Enterprises,Air Force Pilot,05/08/2024
Todd Walter Katerinaevich,Oscorp Industries,Scientist,29/06/2023
Danvers Barry Svetlanaevich,Gamma Research,Private Investigator,19/02/2018
Palpatine Barry Petrovich,SSR,Photographer,16/03/2018
Maximoff Jason Elenaevich,CatCo Worldwide Media,Soldier,21/04/2018
Bishop David Nikolaevich,S.H.I.E.L.D.,Photographer,24/01/2023
Osborn Steve Olgaevich,Gamma Research,Photographer,08/02/2017
Cain Barry Tatianaevich,Gamma Research,Archer,27/08/2018
Stark Oliver Sidorovich,Central City Police Department,Photographer,28/05/2021
Osborn Wade Olgaevich,Queen Industries,Photographer,02/08/2022
Palpatine Barry Olgaevich,Rand Enterprises,Journalist,15/02/2022
Stark Wade Irinaevich,Oscorp Industries,Reporter,09/08/2016
Palpatine Norman Nataliaevich,Central City Police Department,Air Force Pilot,16/04/2022
Gale Matt Nataliaevich,NASA,Reporter,26/11/2021
Watson Oliver Dariaevich,SSR,Model,02/09/2023
Cain David Svetlanaevich,Wayne Enterprises,Agent,03/09/2022
Queen Walter Sidorovich,Queen Industries,Agent,22/05/2019
Rogers Walter Ivanovich,Central City Police Department,Archer,27/09/2016
Todd Bruce Katerinaevich,Central City Police Department,Photographer,03/07/2020
Cho Steve Katerinaevich,Fantastic Four,Journalist,20/01/2019
Romanoff Oliver Svetlanaevich,Stark Industries,IT Specialist,08/11/2016
Maximoff Wade Irinaevich,League of Assassins,Agent,10/03/2022
Smoak Peter Svetlanaevich,NASA,Scientist,03/02/2017
Rand Steve Ivanovich,NASA,Journalist,16/06/2022
Murdock Tony Ivanovich,S.H.I.E.L.D.,IT Specialist,06/06/2021
Queen Barry Ivanovich,League of Assassins,Photographer,30/11/2023
Reilly Tony Katerinaevich,Rand Enterprises,Reporter,17/06/2021
Watson Oliver Olgaevich,Central City Police Department,Air Force Pilot,04/01/2021
Parker Tony Elenaevich,Gamma Research,Lawyer,21/12/2020
Rand Peter Elenaevich,NASA,Spy,09/06/2017
Cho Barry Svetlanaevich,Gamma Research,Air Force Pilot,06/05/2019
Rogers Norman Sidorovich,Central City Police Department,Reporter,01/01/2020
Cho Steve Maryevich,CatCo Worldwide Media,Soldier,28/11/2019
Lane Daniel Katerinaevich,Rand Enterprises,Private Investigator,12/06/2022
Lane Daniel Katerinaevich,CatCo Worldwide Media,Reporter,08/06/2019
Rand Daniel Svetlanaevich,Stark Industries,Lawyer,25/07/2023
Danvers Bruce Petrovich,Army,Model,12/01/2019
Danvers Ben Petrovich,Gamma Research,Photographer,03/11/2022
Zor-El Peter Svetlanaevich,League of Assassins,Reporter,10/09/2022
Parker Matt Olgaevich,Fantastic Four,Air Force Pilot,10/02/2020
Osborn Walter Ivanovich,Palmer Technologies,Photographer,21/01/2019
Rogers Wade Maryevich,S.H.I.E.L.D.,Private Investigator,22/07/2020
Stark Wade Tatianaevich,Stark Industries,IT Specialist,17/03/2023
Zor-El Walter Petrovich,League of Assassins,Private Investigator,10/08/2019
Zor-El Norman Maryevich,SSR,Reporter,20/03/2024
Wayne Jason Ivanovich,SSR,Agent,14/01/2022
Storm Matt Katerinaevich,SSR,Private Investigator,26/09/2018
Cain Walter Tatianaevich,Daily Planet,Archer,18/11/2016
Maximoff Clark Elenaevich,Alias Investigations,CEO,10/09/2023
Reilly Oliver Irinaevich,Queen Industries,Air Force Pilot,01/01/2019
Queen Matt Dariaevich,Wayne Enterprises,Spy,07/12/2022
Osborn Steve Irinaevich,Wayne Enterprises,Spy,07/10/2022
Parker Matt Tatianaevich,Queen Industries,Archer,26/05/2019
Rogers Peter Ivanovich,Wayne Enterprises,Journalist,23/02/2023
