Full Name,Department,Job Title,Hiring day
Wilson Tony Dariaevich,Stark Industries,Reporter,25/09/2020
Jones Norman Dariaevich,Gamma Research,Soldier,10/12/2020
Wayne Oliver Nikolaevich,Rand Enterprises,Soldier,07/03/2021
Todd Clark Irinaevich,Stark Industries,Spy,29/07/2017
Rogers Daniel Olgaevich,Wayne Enterprises,Spy,24/12/2022
Cain Daniel Tatianaevich,League of Assassins,Air Force Pilot,16/05/2022
Parker Tony Nikolaevich,SSR,CEO,01/02/2018
Todd David Katerinaevich,Stark Industries,Air Force Pilot,03/09/2017
White Daniel Sidorovich,Queen Industries,Agent,05/07/2017
Lane Wade Dariaevich,NASA,Model,14/09/2021
Jones David Ivanovich,Daily Planet,Photographer,25/11/2019
Palpatine Clark Tatianaevich,Oscorp Industries,CEO,12/11/2018
Allen Norman Dariaevich,Palmer Technologies,Scientist,10/04/2023
Danvers Daniel Maryevich,S.H.I.E.L.D.,Archer,25/12/2022
Queen Matt Sidorovich,League of Assassins,Agent,06/01/2022
Watson Tony Maryevich,Rand Enterprises,CEO,19/09/2022
Cho Oliver Maryevich,Palmer Technologies,CEO,01/01/2022
Rogers Jason Maryevich,Daily Planet,Photographer,09/12/2023
Murdock Tony Olgaevich,NASA,CEO,26/06/2024
Todd Oliver Irinaevich,Gamma Research,Model,01/02/2023
Cho Steve Maryevich,Fantastic Four,Agent,19/10/2023
Zor-El Jason Irinaevich,Alias Investigations,Scientist,23/02/2023
Allen Oliver Elenaevich,Alias Investigations,Photographer,08/01/2022
Kent Bruce Nikolaevich,Gamma Research,IT Specialist,31/03/2018
Cain David Elenaevich,Wayne Enterprises,Private Investigator,09/04/2017
Carter Clark Katerinaevich,SSR,Spy,07/09/2019
Reilly Walter Elenaevich,Gamma Research,CEO,27/08/2019
Watson Ben Dariaevich,NASA,Archer,25/05/2020
Romanoff Daniel Ivanovich,Rand Enterprises,Model,19/04/2019
Queen Peter Elenaevich,CatCo Worldwide Media,CEO,11/08/2018
Queen David Svetlanaevich,Palmer Technologies,Spy,14/06/2024
Rogers Bruce Petrovich,Queen Industries,Soldier,20/09/2018
Reilly Oliver Irinaevich,Fantastic Four,Agent,26/02/2020
Jones Norman Irinaevich,Palmer Technologies,Scientist,25/04/2024
Cho David Elenaevich,Queen Industries,Model,15/10/2020
Wilson David Tatianaevich,SSR,Journalist,13/03/2019
Watson Matt Katerinaevich,Rand Enterprises,Lawyer,03/07/2019
Maximoff Wade Nataliaevich,Central City Police Department,Lawyer,14/01/2020
Cho Peter Nikolaevich,Oscorp Industries,IT Specialist,25/11/2020
Storm Matt Svetlanaevich,Alias Investigations,CEO,28/10/2023
Osborn Ben Petrovich,NASA,Scientist,24/11/2020
Jones Walter Irinaevich,Wayne Enterprises,Soldier,23/02/2018
Lane Jason Svetlanaevich,League of Assassins,Lawyer,23/05/2024
Storm David Nataliaevich,Gamma Research,Air Force Pilot,31/12/2018
Danvers Ben Dariaevich,Stark Industries,Reporter,14/07/2021
Bishop Wade Dariaevich,Palmer Technologies,Air Force Pilot,15/08/2022
Rand Norman Nataliaevich,Army,Private Investigator,21/01/2017
Todd Steve Dariaevich,SSR,Archer,16/04/2023
Stark David Ivanovich,Stark Industries,Agent,17/07/2020
Watson Peter Olgaevich,League of Assassins,CEO,12/10/2023
Cain Norman Katerinaevich,Wayne Enterprises,Reporter,24/02/2024
Lane David Svetlanaevich,Alias Investigations,IT Specialist,29/10/2019
Jones Barry Svetlanaevich,CatCo Worldwide Media,Archer,14/08/2016
Zor-El Matt Ivanovich,Wayne Enterprises,Photographer,08/05/2023
Danvers Tony Sidorovich,Daily Planet,Spy,26/03/2022
Rand Oliver Nataliaevich,Rand Enterprises,Journalist,21/12/2017
Reilly Jason Irinaevich,Wayne Enterprises,CEO,04/01/2021
Allen Bruce Svetlanaevich,S.H.I.E.L.D.,Spy,15/06/2017
Wayne Daniel Nataliaevich,Alias Investigations,Photographer,02/01/2017
Wilson Walter Svetlanaevich,NASA,Lawyer,28/11/2018
Allen Walter Tatianaevich,Daily Planet,Air Force Pilot,17/09/2016
Wilson Walter Maryevich,NASA,Reporter,05/02/2020
Danvers Jason Sidorovich,Rand Enterprises,Reporter,26/07/2020
Wayne Oliver Irinaevich,Army,Private Investigator,08/09/2023
Osborn Tony Nataliaevich,Palmer Technologies,Scientist,16/05/2019
Wayne Walter Tatianaevich,SSR,Agent,07/02/2021
Maximoff Matt Nikolaevich,League of Assassins,Journalist,29/11/2021
Jones Oliver Sidorovich,NASA,Soldier,14/05/2019
Zor-El Walter Olgaevich,Palmer Technologies,Soldier,26/11/2020
Carter Clark Sidorovich,SSR,Model,23/04/2017
Wilson Matt Ivanovich,CatCo Worldwide Media,Journalist,17/03/2022
Watson Wade Svetlanaevich,Gamma Research,Reporter,16/11/2017
Cain Oliver Ivanovich,Alias Investigations,Journalist,08/02/2019
Lane Oliver Svetlanaevich,S.H.I.E.L.D.,Soldier,09/08/2021
Watson Wade Sidorovich,Gamma Research,Model,09/04/2022
Rand Walter Petrovich,CatCo Worldwide Media,Private Investigator,25/03/2021
Smoak Jason Nataliaevich,Stark Industries,IT Specialist,15/05/2018
Cain Bruce Nataliaevich,Alias Investigations,Reporter,13/06/2021
Carter Barry Nataliaevich,S.H.I.E.L.D.,CEO,17/11/2018
Zor-El Tony Nataliaevich,Daily Planet,Photographer,18/04/2017
Todd Steve Nikolaevich,Oscorp Industries,Air Force Pilot,09/05/2022
White Wade Dariaevich,Palmer Technologies,Agent,01/07/2020
Zor-El Matt Dariaevich,SSR,Reporter,28/05/2024
Rand Steve Nataliaevich,Rand Enterprises,Reporter,01/06/2018
White Peter Dariaevich,Rand Enterprises,CEO,15/01/2022
Parker Wade Dariaevich,SSR,Scientist,20/10/2019
White Barry Nataliaevich,Army,Model,16/02/2024
Danvers David Maryevich,League of Assassins,Archer,24/12/2022
Smoak David Nataliaevich,Palmer Technologies,Photographer,14/09/2023
Palpatine Peter Sidorovich,Stark Industries,Archer,19/12/2018
Watson Wade Svetlanaevich,Army,Reporter,07/07/2020
Zor-El Matt Elenaevich,NASA,Private Investigator,28/10/2016
Allen Wade Nataliaevich,Oscorp Industries,Journalist,29/03/2024
Wilson Peter Sidorovich,Rand Enterprises,Scientist,22/07/2023
Murdock Barry Nataliaevich,Alias Investigations,Air Force Pilot,07/02/2017
Gale Peter Olgaevich,Wayne Enterprises,Agent,29/01/2019
Danvers Oliver Nataliaevich,Queen Industries,Lawyer,04/01/2022
Cho Oliver Irinaevich,Oscorp Industries,Journalist,18/02/2021
Stark Matt Nataliaevich,Stark Industries,CEO,09/01/2017
Todd Oliver Olgaevich,Queen Industries,Lawyer,10/08/2019
Maximoff Ben Petrovich,Alias Investigations,Agent,16/05/2018
Rogers Wade Sidorovich,Fantastic Four,Photographer,31/07/2017
Smoak Jason Nataliaevich,Oscorp Industries,Air Force Pilot,05/07/2024
Jones Norman Tatianaevich,Oscorp Industries,Spy,10/02/2018
Osborn Peter Elenaevich,Central City Police Department,Soldier,17/08/2016
Romanoff Bruce Svetlanaevich,SSR,Reporter,09/12/2019
Storm Wade Nataliaevich,Stark Industries,Agent,16/05/2018
Parker Wade Olgaevich,Queen Industries,Model,18/05/2017
Carter Daniel Olgaevich,Fantastic Four,Air Force Pilot,28/04/2019
Wilson Norman Ivanovich,Palmer Technologies,IT Specialist,14/02/2024
Danvers Bruce Maryevich,CatCo Worldwide Media,Archer,31/12/2022
Maximoff Bruce Maryevich,League of Assassins,Reporter,22/05/2022
Kent Steve Maryevich,Wayne Enterprises,Spy,06/03/2022
Allen Ben Nataliaevich,League of Assassins,Air Force Pilot,25/11/2016
Rogers Jason Olgaevich,Rand Enterprises,IT Specialist,13/01/2019
Cho Ben Olgaevich,League of Assassins,Soldier,28/10/2020
Zor-El Matt Katerinaevich,Palmer Technologies,Model,28/03/2024
Rogers Ben Irinaevich,Wayne Enterprises,Lawyer,27/06/2017
Jones Oliver Dariaevich,Fantastic Four,Scientist,20/04/2021
Bishop Tony Petrovich,Wayne Enterprises,Lawyer,28/09/2022
Storm Ben Sidorovich,Fantastic Four,Spy,08/06/2023
Jones Clark Irinaevich,NASA,Photographer,11/05/2017
Rogers Steve Nikolaevich,SSR,Journalist,20/04/2022
Kent Wade Maryevich,NASA,Scientist,14/01/2022
Carter Wade Olgaevich,Central City Police Department,Lawyer,01/03/2024
Lane Bruce Svetlanaevich,S.H.I.E.L.D.,Soldier,05/06/2023
Zor-El David Maryevich,Alias Investigations,Lawyer,05/05/2017
Zor-El Wade Dariaevich,Wayne Enterprises,Reporter,13/02/2019
Danvers Steve Tatianaevich,Queen Industries,Reporter,04/01/2022
Romanoff Bruce Sidorovich,Queen Industries,Private Investigator,18/06/2024
Jones Wade Svetlanaevich,Queen Industries,CEO,21/05/2020
Stark Steve Katerinaevich,League of Assassins,Reporter,16/06/2022
White Walter Svetlanaevich,Daily Planet,Reporter,06/01/2020
Reilly Jason Tatianaevich,CatCo Worldwide Media,Private Investigator,06/04/2023
Danvers Norman Sidorovich,Army,IT Specialist,12/01/2021
Danvers Clark Sidorovich,Queen Industries,Air Force Pilot,25/02/2022
Rand Tony Irinaevich,Daily Planet,Soldier,20/10/2019
Stark Barry Nataliaevich,S.H.I.E.L.D.,Soldier,27/05/2024
Parker Norman Elenaevich,Palmer Technologies,Lawyer,16/12/2016
Romanoff Tony Svetlanaevich,SSR,Scientist,23/12/2021
Zor-El Ben Katerinaevich,Oscorp Industries,Model,23/06/2023
Danvers Wade Dariaevich,Queen Industries,Private Investigator,07/12/2019
Rogers Wade Nataliaevich,S.H.I.E.L.D.,Soldier,18/03/2017
White Jason Katerinaevich,Stark Industries,Journalist,30/01/2021
Watson Bruce Petrovich,Rand Enterprises,Spy,11/04/2019
Lane Wade Sidorovich,Oscorp Industries,Air Force Pilot,03/05/2023
Storm Daniel Elenaevich,CatCo Worldwide Media,Reporter,27/09/2018
Allen Tony Katerinaevich,Stark Industries,Air Force Pilot,26/04/2022
Allen Clark Svetlanaevich,NASA,Lawyer,28/03/2024
Gale Peter Katerinaevich,Gamma Research,IT Specialist,03/01/2021
Rogers Matt Katerinaevich,League of Assassins,Agent,22/01/2020
Queen Norman Elenaevich,Army,Soldier,15/05/2022
Storm Ben Nataliaevich,League of Assassins,Soldier,05/08/2023
Romanoff Matt Nikolaevich,Rand Enterprises,Journalist,09/11/2016
Stark Peter Irinaevich,League of Assassins,IT Specialist,14/01/2022
Watson Oliver Dariaevich,Central City Police Department,Reporter,17/04/2019
Romanoff Ben Maryevich,Oscorp Industries,Scientist,29/06/2020
Zor-El Peter Petrovich,CatCo Worldwide Media,Model,04/07/2022
Romanoff Daniel Maryevich,Stark Industries,Agent,29/03/2020
Cho Peter Elenaevich,Wayne Enterprises,Agent,21/09/2020
Queen Jason Nikolaevich,Oscorp Industries,IT Specialist,24/01/2021
Parker Norman Svetlanaevich,Fantastic Four,Private Investigator,15/01/2018
Rogers Bruce Maryevich,Army,Air Force Pilot,30/06/2018
Rand Jason Olgaevich,Fantastic Four,Photographer,13/02/2024
Lane Walter Nikolaevich,S.H.I.E.L.D.,Spy,20/08/2020
Palpatine Wade Sidorovich,League of Assassins,Reporter,23/11/2016
Cain Peter Maryevich,Oscorp Industries,Spy,03/10/2021
Allen Peter Petrovich,Gamma Research,Air Force Pilot,26/03/2022
Cain Ben Tatianaevich,S.H.I.E.L.D.,Air Force Pilot,20/02/2017
Jones Jason Katerinaevich,Fantastic Four,Photographer,28/01/2019
Danvers Daniel Ivanovich,Stark Industries,IT Specialist,18/12/2023
Carter Tony Dariaevich,Army,Model,20/04/2022
White Clark Svetlanaevich,Central City Police Department,CEO,07/04/2023
Lane Ben Katerinaevich,Daily Planet,Spy,23/12/2019
Kent David Tatianaevich,Wayne Enterprises,Photographer,29/05/2023
White David Nataliaevich,Rand Enterprises,Air Force Pilot,05/07/2018
Osborn Ben Olgaevich,SSR,Spy,30/07/2020
White Norman Nataliaevich,Alias Investigations,Journalist,29/03/2024
Cain Walter Nataliaevich,CatCo Worldwide Media,CEO,04/04/2018
Palpatine Bruce Dariaevich,Rand Enterprises,Lawyer,22/10/2019
Wilson Matt Petrovich,S.H.I.E.L.D.,Air Force Pilot,17/08/2017
Rand Clark Tatianaevich,Gamma Research,Spy,30/01/2018
Palpatine Tony Maryevich,Stark Industries,Agent,22/05/2017
Allen Barry Ivanovich,CatCo Worldwide Media,Model,15/07/2024
Osborn Peter Elenaevich,CatCo Worldwide Media,Soldier,02/06/2017
Rand Norman Elenaevich,SSR,Spy,29/09/2021
Cain Oliver Ivanovich,Queen Industries,Reporter,30/08/2018
Romanoff Norman Ivanovich,Fantastic Four,Photographer,22/11/2020
Lane Daniel Sidorovich,Alias Investigations,Photographer,14/08/2016
Gale Peter Nataliaevich,Oscorp Industries,Archer,01/05/2019
White Walter Nataliaevich,Wayne Enterprises,Spy,24/07/2020
Kent Jason Nikolaevich,League of Assassins,Photographer,21/10/2021
Gale Daniel Petrovich,Army,Archer,23/04/2023
Danvers Peter Irinaevich,Alias Investigations,Lawyer,26/06/2023
Storm Tony Nataliaevich,NASA,Agent,31/08/2018
Kent Clark Tatianaevich,NASA,Scientist,25/10/2019
Todd Wade Tatianaevich,CatCo Worldwide Media,Lawyer,12/07/2017
Allen Walter Dariaevich,Oscorp Industries,Journalist,13/12/2016
Reilly Steve Nataliaevich,Daily Planet,Agent,07/06/2022
Murdock Norman Sidorovich,CatCo Worldwide Media,IT Specialist,16/06/2020
Maximoff Steve Sidorovich,League of Assassins,Scientist,15/04/2020
Carter David Svetlanaevich,Central City Police Department,Reporter,23/08/2017
Danvers Matt Katerinaevich,S.H.I.E.L.D.,Photographer,10/06/2024
Cho Jason Dariaevich,League of Assassins,Archer,11/05/2018
Storm Matt Svetlanaevich,Fantastic Four,Agent,26/06/2022
Reilly David Nikolaevich,Queen Industries,Agent,25/07/2023
Romanoff Bruce Nikolaevich,CatCo Worldwide Media,Journalist,26/08/2022
Lane Wade Irinaevich,Rand Enterprises,Photographer,09/09/2020
Allen David Nikolaevich,Army,Agent,22/05/2019
Cain Daniel Katerinaevich,NASA,Journalist,21/05/2022
Storm David Katerinaevich,NASA,Private Investigator,16/09/2017
Cain Tony Nikolaevich,Alias Investigations,Lawyer,28/09/2021
Lane Tony Sidorovich,SSR,Photographer,13/10/2020
Storm Daniel Elenaevich,Gamma Research,Model,19/09/2023
Rand Oliver Katerinaevich,Alias Investigations,Private Investigator,30/01/2020
Stark Barry Katerinaevich,Rand Enterprises,Soldier,29/06/2019
Cain Jason Olgaevich,Daily Planet,Journalist,18/10/2017
Allen Barry Olgaevich,SSR,Archer,18/04/2017
Kent David Sidorovich,Alias Investigations,Air Force Pilot,05/11/2020
Watson Jason Elenaevich,Stark Industries,Spy,23/01/2017
Zor-El Steve Sidorovich,Palmer Technologies,Archer,11/09/2017
Osborn Norman Katerinaevich,Rand Enterprises,Air Force Pilot,05/10/2023
Wilson Barry Dariaevich,Palmer Technologies,Journalist,11/02/2018
Storm Steve Irinaevich,Fantastic Four,Reporter,12/09/2021
Osborn Peter Svetlanaevich,NASA,Archer,14/09/2018
Stark Bruce Sidorovich,Rand Enterprises,Private Investigator,10/12/2019
Kent Jason Nataliaevich,Oscorp Industries,Photographer,31/12/2020
Danvers Peter Nataliaevich,S.H.I.E.L.D.,Model,23/04/2020
Watson Ben Nataliaevich,Palmer Technologies,Spy,10/05/2022
Storm Matt Olgaevich,Oscorp Industries,Air Force Pilot,07/01/2020
Jones Clark Sidorovich,Oscorp Industries,Agent,09/04/2023
Reilly David Ivanovich,Central City Police Department,Archer,22/05/2023
Wilson Clark Petrovich,Queen Industries,IT Specialist,01/12/2021
Watson Barry Tatianaevich,Daily Planet,Scientist,29/08/2023
Murdock Matt Ivanovich,Alias Investigations,Soldier,10/09/2019
Osborn David Petrovich,Queen Industries,Reporter,16/04/2020
Carter Daniel Irinaevich,Oscorp Industries,CEO,10/01/2017
Todd Wade Maryevich,Army,Archer,28/05/2024
Osborn Peter Sidorovich,League of Assassins,CEO,20/06/2021
Kent Clark Maryevich,Rand Enterprises,Private Investigator,27/09/2022
Wayne Daniel Katerinaevich,NASA,Photographer,28/02/2019
Stark Clark Tatianaevich,CatCo Worldwide Media,Private Investigator,17/06/2018
Rogers David Sidorovich,Queen Industries,Model,15/03/2019
Parker Peter Irinaevich,Queen Industries,Reporter,01/02/2021
Jones Barry Ivanovich,Army,Reporter,18/06/2023
Maximoff Jason Ivanovich,Alias Investigations,CEO,20/09/2022
Jones Jason Katerinaevich,SSR,IT Specialist,17/12/2023
Cain Matt Elenaevich,S.H.I.E.L.D.,Private Investigator,23/08/2018
Maximoff Clark Elenaevich,Fantastic Four,Scientist,15/12/2023
Bishop Oliver Sidorovich,Rand Enterprises,Agent,16/09/2017
Bishop Tony Petrovich,Central City Police Department,Air Force Pilot,13/05/2024
Kent Steve Ivanovich,CatCo Worldwide Media,Spy,12/12/2020
Gale Jason Svetlanaevich,Wayne Enterprises,Agent,25/07/2018
Carter Matt Nikolaevich,Stark Industries,Scientist,29/08/2020
Kent Norman Elenaevich,Army,Agent,04/02/2019
Parker Daniel Dariaevich,Army,Spy,27/08/2016
Palpatine Norman Svetlanaevich,S.H.I.E.L.D.,Lawyer,24/08/2022
Bishop Jason Dariaevich,Stark Industries,IT Specialist,13/04/2023
Rogers Norman Ivanovich,Army,Agent,13/11/2023
Zor-El Bruce Olgaevich,Wayne Enterprises,CEO,19/04/2018
Watson Ben Maryevich,Queen Industries,Archer,18/04/2017
Lane Tony Dariaevich,Stark Industries,Soldier,25/06/2020
Palpatine Ben Olgaevich,NASA,Scientist,20/03/2020
Rogers Wade Olgaevich,Fantastic Four,Agent,26/05/2024
Bishop Norman Olgaevich,Queen Industries,Photographer,26/08/2023
Kent Walter Olgaevich,Wayne Enterprises,Agent,10/02/2017
Rand David Svetlanaevich,Oscorp Industries,Reporter,20/01/2017
Romanoff Ben Ivanovich,Central City Police Department,Archer,15/11/2017
Wilson Clark Ivanovich,Fantastic Four,Model,04/03/2019
Todd Norman Ivanovich,Daily Planet,Air Force Pilot,13/05/2024
Rogers Steve Sidorovich,Rand Enterprises,Soldier,21/03/2022
Zor-El Matt Petrovich,S.H.I.E.L.D.,Soldier,02/10/2020
Allen Norman Elenaevich,Stark Industries,Reporter,26/11/2020
Zor-El Tony Sidorovich,Queen Industries,Air Force Pilot,20/10/2018
Rand Walter Nataliaevich,Alias Investigations,Agent,25/11/2021
Murdock Barry Sidorovich,Queen Industries,Spy,10/07/2022
Watson Walter Dariaevich,NASA,Archer,15/03/2023
Wayne Oliver Tatianaevich,Stark Industries,Archer,30/07/2020
Zor-El Clark Petrovich,S.H.I.E.L.D.,Reporter,12/05/2023
Wayne Clark Irinaevich,Central City Police Department,Private Investigator,31/03/2022
Palpatine Tony Petrovich,Fantastic Four,Reporter,13/04/2022
Jones Ben Petrovich,Alias Investigations,IT Specialist,07/06/2022
Todd Bruce Nataliaevich,Stark Industries,Air Force Pilot,20/02/2024
Watson David Sidorovich,Stark Industries,Lawyer,22/07/2023
Bishop Oliver Olgaevich,Oscorp Industries,Soldier,28/12/2016
Wayne Barry Dariaevich,Rand Enterprises,Agent,12/08/2018
Kent Peter Petrovich,CatCo Worldwide Media,Soldier,27/05/2017
Smoak Matt Nikolaevich,Central City Police Department,Air Force Pilot,10/01/2018
Maximoff Ben Maryevich,S.H.I.E.L.D.,Lawyer,09/12/2021
Lane Walter Elenaevich,Alias Investigations,Soldier,04/01/2019
Queen Ben Katerinaevich,Rand Enterprises,Agent,31/07/2024
Cho Barry Sidorovich,SSR,Agent,01/10/2017
Watson Wade Petrovich,S.H.I.E.L.D.,Model,11/10/2016
Wayne Norman Dariaevich,Alias Investigations,Private Investigator,02/06/2023
Gale Norman Olgaevich,Daily Planet,Spy,17/04/2022
Rand Matt Svetlanaevich,Fantastic Four,Agent,02/12/2016
Zor-El Bruce Elenaevich,S.H.I.E.L.D.,Model,08/02/2020
Gale Barry Sidorovich,CatCo Worldwide Media,IT Specialist,22/05/2019
Lane Matt Svetlanaevich,S.H.I.E.L.D.,Agent,15/01/2022
Carter Bruce Olgaevich,CatCo Worldwide Media,Archer,04/10/2017
Murdock Matt Elenaevich,CatCo Worldwide Media,Scientist,31/05/2018
Romanoff Walter Sidorovich,Gamma Research,Model,20/11/2017
Stark Ben Katerinaevich,Central City Police Department,Reporter,18/08/2020
Stark Walter Tatianaevich,Queen Industries,Scientist,23/01/2022
Murdock Matt Irinaevich,League of Assassins,Photographer,01/04/2019
Zor-El Steve Olgaevich,Daily Planet,Journalist,05/03/2019
Rogers Wade Irinaevich,Daily Planet,Air Force Pilot,09/03/2017
Zor-El David Elenaevich,Central City Police Department,CEO,16/07/2017
White Bruce Sidorovich,Oscorp Industries,Private Investigator,24/09/2016
Palpatine Ben Petrovich,Fantastic Four,Lawyer,11/11/2020
Kent Tony Ivanovich,Central City Police Department,Lawyer,29/05/2022
Zor-El Wade Nikolaevich,Gamma Research,IT Specialist,20/05/2023
Smoak Daniel Olgaevich,NASA,CEO,28/02/2017
Allen Jason Olgaevich,NASA,Private Investigator,31/10/2016
Murdock Daniel Katerinaevich,Stark Industries,Archer,05/01/2019
Stark Matt Nikolaevich,Palmer Technologies,Model,04/05/2023
Watson Bruce Petrovich,Wayne Enterprises,Private Investigator,01/05/2020
Wayne Tony Maryevich,Queen Industries,Archer,27/05/2024
Storm Oliver Ivanovich,NASA,Air Force Pilot,12/06/2019
Kent Wade Nikolaevich,League of Assassins,Lawyer,17/04/2019
Bishop Jason Petrovich,Oscorp Industries,Journalist,12/01/2020
Rand Barry Nataliaevich,Oscorp Industries,Private Investigator,10/11/2017
Wayne Norman Elenaevich,Stark Industries,Model,05/12/2016
Parker Matt Ivanovich,SSR,Photographer,04/06/2022
Lane Jason Ivanovich,NASA,Spy,09/07/2018
Murdock Norman Dariaevich,Daily Planet,Model,17/05/2018
Jones Walter Elenaevich,Rand Enterprises,CEO,17/06/2021
Stark Steve Sidorovich,Army,Model,28/05/2018
Cho Ben Elenaevich,Queen Industries,Lawyer,30/10/2020
